Name,Description
000,"camera focus in behind a fence, man walking in the rain"
001,domino
002,snowy day in playground
003,a fruit bush shaking in a rainy day
004,ping pong
005,pinball from left with some yellow shirt in the frame
006,table football goal with spinning at the end
007,colored strips in the wind
008,spinning wheel
009,"canada flag in a sunny, windy day"
010,red food color droplet in a glass of water
011,items rolling on a complex puzzle
012,smoke come through three RGB glasses
013,wiping a table with colory stains
014,two people playing connect four
015,cat toy jiggling in colorful lights
016,milk (coffee mate) being poured in rgb glasses
017,"river in a sunny day, people in the background"
018,a duck going with the flow on the river
019,lose-up on rocks in the water
020,cat playing on grass
021,people in park with cars in the background
022,two geese walking -1
023,two geese walking - 2
024,two geese walking - 3
025,snowy day on mall
026,snowy day on street
027,snow drops on an arm
028,placing a white cup and tunring on the light
029,swapping/shuffling three RGB glasses
030,person walking relaxed in an office
031,preparing charcoal for bbq in a camp side
032,checking on chicken being grilled
033,people relaxing on the riverside
034,people walking in a park
035,kids on playground slide
036,car dashboard turning on
037,a playground in a rainy day - 1
038,a street in a rainy day
039,a playground in a rainy day - 2
040,an intersection in a riny day
041,rain falling down on downtown from above
042,goose and bird on grass in the rain
043,grilling burger patties
044,an goat licking hooves
045,Mountain Goats on grass
046,two owls
047,a white owl looking around
048,a polar bear swimming
049,a wolf going around
050,two moose laying on the ground and duck in pond
051,a polar bear walking
052,an otters swimming
053,a bison eating grass
054,wolf sleeping
055,two bears playing
056,bear sleeping
057,a bear walking behind a fence
058,bear taking a shower
059,a giraffe chewing
060,two zebras
061,one zebra
062,one zebra shakes itself to remove dirt
063,two zebras eating grass with people on the background
064,lemur on the robe
065,aquarium with colorful fish and zoom in at the end
066,camera tilting in a greenhouse
067,one gorilla goes to bed
068,two gorillas playing with each other
069,one gorilla having snack
070,sleeping alligator
071,birds on a tree
072,flamingos gathering
073,two lamas one sitting one eating
074,a komodo barely blinks chilling
075,malayan tapir eatting grass
076,small waterfall
077,a butterfly shows off its wings
078,"two butterlfies, one resting one comes and goes"
079,gathering of penguins near water
080,snow falling wide shot
081,snowy day in suburb
082,an intersection from above
083,grilling chicken with lots of smoke
084,people moving across the river
085,playground merry-go-round
086,an empty intersection in a rainy day
087,car moving in a rainy day
088,intersection in a rainy day
089,driving in downtown in a rainy day
090,train moving in a rainy day
091,camera truck behind the fence
092,people runnig beside the bow river
093,bird on tree in the rain
094,busy intersection in a rainy day
095,snowy night
096,trucking across plants after the rain
097,panning in Schulich yard at night
098,entering class a classroom
099,lighting up candles and blowing them
100,blinking pixel panel
101,fire in fire pit at evening
102,playing a guitar
103,shuffling cards
104,train passing by at night
105,gyroscope spinning and falling
106,people passing by
107,bird on a perch
108,tree branches in the water
109,squirrel on the grass
110,waterfall
111,camera panning over a lake
112,car on a highway
113,people at the river shore
114,water moving behind the trees with camera focus switch
115,people rafting
116,camera trucking capturing a forest
117,water turbulence in a river
118,multiple canoes on a lake
119,camera panning a waterfall
