Name,Description
000,adding colors to a glass of water
001,"wiping colors on table, dry"
002,camera tilting indoors
003,foosball
004,moving skewers on grill
005,resetting a game of connect-4
006,playing on guitar
007,cars on the road in the rain
008,rain hitting the train platform while train passes by
009,camera moving inside a building
010,"grill smoke, people walking in the background"
011,camera following wolves walking
012,birds on a birds feeder
013,lighting candles and blowing them out
014,adding colors to three glasses of water
015,people loading a truck
016,lighting a sparkler
017,trains passing each other in the rain
018,people cleaning the street in the rain
019,train arriving into a station in the rain at night
020,plane taking off
021,birds in a garden
022,people walking at night
023,cars passing by in the rain
024,car driving in a street in the rain at night
025,colored campfire
026,removing glasses of colored water
027,lemur on the robe
028,car waiting on traffic light in the rain
029,geese flying around next to a river
030,construction workers
031,squirrel wondering about
032,camera panning over a waterfall in a river
033,people walking by 
034,"camera trucking, building and trees passing by"
035,camera trucking and panning a waterfall behind trees
036,car driving in an underground parking
037,car driving in market in the rain at night
038,a Grey Crowned Crane
039,gorillas playing around
